"filename", "language", "HTML", "JSON", "Markdown", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\james\OneDrive\Desktop\repos\multiplayerchat\API.md", "Markdown", 0, 0, 172, 0, 0, 0, 42, 214
"c:\Users\james\OneDrive\Desktop\repos\multiplayerchat\README.md", "Markdown", 0, 0, 247, 0, 0, 0, 48, 295
"c:\Users\james\OneDrive\Desktop\repos\multiplayerchat\package-lock.json", "JSON", 0, 2676, 0, 0, 0, 0, 1, 2677
"c:\Users\james\OneDrive\Desktop\repos\multiplayerchat\package.json", "JSON", 0, 21, 0, 0, 0, 0, 1, 22
"c:\Users\james\OneDrive\Desktop\repos\multiplayerchat\public\css\context-menu.css", "CSS", 0, 0, 0, 0, 46, 1, 9, 56
"c:\Users\james\OneDrive\Desktop\repos\multiplayerchat\public\css\style.css", "CSS", 0, 0, 0, 0, 172, 5, 28, 205
"c:\Users\james\OneDrive\Desktop\repos\multiplayerchat\public\index.html", "HTML", 37, 0, 0, 0, 0, 3, 5, 45
"c:\Users\james\OneDrive\Desktop\repos\multiplayerchat\public\js\app.js", "JavaScript", 0, 0, 0, 289, 0, 51, 40, 380
"c:\Users\james\OneDrive\Desktop\repos\multiplayerchat\public\js\chat.js", "JavaScript", 0, 0, 0, 85, 0, 41, 25, 151
"c:\Users\james\OneDrive\Desktop\repos\multiplayerchat\public\js\contextMenu.js", "JavaScript", 0, 0, 0, 94, 0, 57, 30, 181
"c:\Users\james\OneDrive\Desktop\repos\multiplayerchat\public\js\ecs\cameraSystem.js", "JavaScript", 0, 0, 0, 41, 0, 21, 13, 75
"c:\Users\james\OneDrive\Desktop\repos\multiplayerchat\public\js\ecs\chatBubbleSystem.js", "JavaScript", 0, 0, 0, 137, 0, 66, 40, 243
"c:\Users\james\OneDrive\Desktop\repos\multiplayerchat\public\js\ecs\components.js", "JavaScript", 0, 0, 0, 121, 0, 37, 13, 171
"c:\Users\james\OneDrive\Desktop\repos\multiplayerchat\public\js\ecs\contextMenuSystem.js", "JavaScript", 0, 0, 0, 293, 0, 99, 58, 450
"c:\Users\james\OneDrive\Desktop\repos\multiplayerchat\public\js\ecs\core.js", "JavaScript", 0, 0, 0, 98, 0, 83, 25, 206
"c:\Users\james\OneDrive\Desktop\repos\multiplayerchat\public\js\ecs\entities.js", "JavaScript", 0, 0, 0, 139, 0, 58, 38, 235
"c:\Users\james\OneDrive\Desktop\repos\multiplayerchat\public\js\ecs\inventoryComponents.js", "JavaScript", 0, 0, 0, 58, 0, 36, 15, 109
"c:\Users\james\OneDrive\Desktop\repos\multiplayerchat\public\js\ecs\inventoryEntities.js", "JavaScript", 0, 0, 0, 109, 0, 38, 21, 168
"c:\Users\james\OneDrive\Desktop\repos\multiplayerchat\public\js\ecs\inventorySystem.js", "JavaScript", 0, 0, 0, 498, 0, 198, 132, 828
"c:\Users\james\OneDrive\Desktop\repos\multiplayerchat\public\js\ecs\systems.js", "JavaScript", 0, 0, 0, 366, 0, 127, 86, 579
"c:\Users\james\OneDrive\Desktop\repos\multiplayerchat\public\js\network.js", "JavaScript", 0, 0, 0, 94, 0, 38, 21, 153
"c:\Users\james\OneDrive\Desktop\repos\multiplayerchat\public\js\three-setup.js", "JavaScript", 0, 0, 0, 58, 0, 41, 20, 119
"c:\Users\james\OneDrive\Desktop\repos\multiplayerchat\server\server.js", "JavaScript", 0, 0, 0, 407, 0, 82, 86, 575
"Total", "-", 37, 2697, 419, 2887, 218, 1082, 797, 8137